srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
338,4053,2297,DRS,Germany,BSL,Switzerland,EasyJet Airline,United Kingdom,599
609,645,4319,CPH,Denmark,HAU,Norway,SAS Scandinavian Airlines,Sweden,608
645,609,4319,HAU,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,608
3885,3239,17023,BKK,Thailand,RGN,Burma,,Kazakhstan,611
3239,3885,17023,RGN,Burma,BKK,Thailand,,Kazakhstan,611
521,666,4319,NCL,United Kingdom,SVG,Norway,SAS Scandinavian Airlines,Sweden,616
666,521,4319,SVG,Norway,NCL,United Kingdom,SAS Scandinavian Airlines,Sweden,616
609,345,4319,CPH,Denmark,DUS,Germany,SAS Scandinavian Airlines,Sweden,619
345,609,4319,DUS,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,619
353,1678,18553,BRE,Germany,ZRH,Switzerland,,Netherlands,621
1678,353,18553,ZRH,Switzerland,BRE,Germany,,Netherlands,621
609,1587,4319,CPH,Denmark,PRG,Czech Republic,SAS Scandinavian Airlines,Sweden,623
1587,609,4319,PRG,Czech Republic,CPH,Denmark,SAS Scandinavian Airlines,Sweden,623
1701,2947,11811,IST,Turkey,ODS,Ukraine,,Egypt,624
535,666,4319,EDI,United Kingdom,SVG,Norway,SAS Scandinavian Airlines,Sweden,629
666,535,4319,SVG,Norway,EDI,United Kingdom,SAS Scandinavian Airlines,Sweden,629
580,609,4319,AMS,Netherlands,CPH,Denmark,SAS Scandinavian Airlines,Sweden,633
609,580,4319,CPH,Denmark,AMS,Netherlands,SAS Scandinavian Airlines,Sweden,633
608,340,4319,BLL,Denmark,FRA,Germany,SAS Scandinavian Airlines,Sweden,637
340,608,4319,FRA,Germany,BLL,Denmark,SAS Scandinavian Airlines,Sweden,637
1779,1754,14849,KIN,Jamaica,PLS,Turks and Caicos Islands,,Italy,637
1754,1779,14849,PLS,Turks and Caicos Islands,KIN,Jamaica,,Italy,637
1218,1665,2297,BCN,Spain,GVA,Switzerland,EasyJet Airline,United Kingdom,637
1665,1218,2297,GVA,Switzerland,BCN,Spain,EasyJet Airline,United Kingdom,637
1529,1386,2297,LIN,Italy,ORY,France,EasyJet Airline,United Kingdom,638
1386,1529,2297,ORY,France,LIN,Italy,EasyJet Airline,United Kingdom,638
1324,4053,2297,AJA,France,BSL,Switzerland,EasyJet Airline,United Kingdom,638
4053,1324,2297,BSL,Switzerland,AJA,France,EasyJet Airline,United Kingdom,638
1953,1754,14849,NAS,Bahamas,PLS,Turks and Caicos Islands,,Italy,643
1754,1953,14849,PLS,Turks and Caicos Islands,NAS,Bahamas,,Italy,643
302,337,2297,BRU,Belgium,SXF,Germany,EasyJet Airline,United Kingdom,645
337,302,2297,SXF,Germany,BRU,Belgium,EasyJet Airline,United Kingdom,645
1524,1587,2297,MXP,Italy,PRG,Czech Republic,EasyJet Airline,United Kingdom,646
1587,1524,2297,PRG,Czech Republic,MXP,Italy,EasyJet Airline,United Kingdom,646
4053,1273,2297,BSL,Switzerland,TLS,France,EasyJet Airline,United Kingdom,651
1273,4053,2297,TLS,France,BSL,Switzerland,EasyJet Airline,United Kingdom,651
1665,1520,2297,GVA,Switzerland,OLB,Italy,EasyJet Airline,United Kingdom,654
1520,1665,2297,OLB,Italy,GVA,Switzerland,EasyJet Airline,United Kingdom,654
1561,1354,2297,NAP,Italy,NCE,France,EasyJet Airline,United Kingdom,658
1354,1561,2297,NCE,France,NAP,Italy,EasyJet Airline,United Kingdom,658
3550,1825,10646,IAH,United States,MTY,Mexico,,United Kingdom,662
1825,3550,10646,MTY,Mexico,IAH,United States,,United Kingdom,662
302,1524,2297,BRU,Belgium,MXP,Italy,EasyJet Airline,United Kingdom,665
1524,302,2297,MXP,Italy,BRU,Belgium,EasyJet Airline,United Kingdom,665
609,679,4319,CPH,Denmark,WAW,Poland,SAS Scandinavian Airlines,Sweden,666
679,609,4319,WAW,Poland,CPH,Denmark,SAS Scandinavian Airlines,Sweden,666
415,5596,18553,TLL,Estonia,TYF,Sweden,,Netherlands,667
5596,415,18553,TYF,Sweden,TLL,Estonia,,Netherlands,667
1177,4059,4559,DAR,Tanzania,NBO,Kenya,Swiss Airlines,Switzerland,668
4059,1177,4559,NBO,Kenya,DAR,Tanzania,Swiss Airlines,Switzerland,668
2895,1759,18944,AUA,Aruba,LRM,Dominican Republic,,Netherlands Antilles,672
1759,2895,18944,LRM,Dominican Republic,AUA,Aruba,,Netherlands Antilles,672
273,891,10128,LOS,Nigeria,SSG,Equatorial Guinea,Dennis Sky Holding,Israel,674
636,609,4319,BGO,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,680
609,636,4319,CPH,Denmark,BGO,Norway,SAS Scandinavian Airlines,Sweden,680
609,340,4319,CPH,Denmark,FRA,Germany,SAS Scandinavian Airlines,Sweden,680
340,609,4319,FRA,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,680
580,1665,2297,AMS,Netherlands,GVA,Switzerland,EasyJet Airline,United Kingdom,682
1665,580,2297,GVA,Switzerland,AMS,Netherlands,EasyJet Airline,United Kingdom,682
4053,337,2297,BSL,Switzerland,SXF,Germany,EasyJet Airline,United Kingdom,683
337,4053,2297,SXF,Germany,BSL,Switzerland,EasyJet Airline,United Kingdom,683
1489,337,2297,BUD,Hungary,SXF,Germany,EasyJet Airline,United Kingdom,686
337,1489,2297,SXF,Germany,BUD,Hungary,EasyJet Airline,United Kingdom,686
4053,1418,2297,BSL,Switzerland,NTE,France,EasyJet Airline,United Kingdom,690
1418,4053,2297,NTE,France,BSL,Switzerland,EasyJet Airline,United Kingdom,690
4053,342,2297,BSL,Switzerland,HAM,Germany,EasyJet Airline,United Kingdom,694
342,4053,2297,HAM,Germany,BSL,Switzerland,EasyJet Airline,United Kingdom,694
1762,2899,11741,SDQ,Dominican Republic,SXM,Netherlands Antilles,,Guadeloupe,694
2899,1762,11741,SXM,Netherlands Antilles,SDQ,Dominican Republic,,Guadeloupe,694
